Roll_S1,Pitch_S1,Yaw_S1,Roll_S2,Pitch_S2,Yaw_S2,Roll_S3,Pitch_S3,Yaw_S3,Miscare,Time
-16.85,-71.41,-5.09,-80.06,-13.41,-26.5,-20.16,68.56,1.01,Walking_Normal,51.82
-14.76,-74.71,-5.36,-67.19,-14.1,-26.5,-7.36,71.5,-1.09,Walking_Normal,51.84
-11.68,-76.5,-4.93,-67.09,-18.76,-26.5,13.68,72.33,-0.24,Walking_Normal,51.86
-12.38,-70.51,-6.31,-74.66,-17.44,-26.5,-1.52,72.26,0.32,Walking_Normal,51.88
-16.96,-72.21,-5.82,-77.45,-15.43,-26.5,-16.29,68.22,0.48,Walking_Normal,51.9
-16.55,-75.6,-4.68,-70.4,-13.98,-26.5,-14.94,69.15,-0.42,Walking_Normal,51.92
-13.47,-73.67,-4.51,-63.33,-18.85,-26.5,8.35,70.57,-1.4,Walking_Normal,51.94
-11.08,-78.64,-4.87,-73.54,-19.73,-26.5,12.9,72.63,0.68,Walking_Normal,51.96
-15.38,-70.9,-4.28,-73.04,-16.67,-26.5,-4.25,70.3,0.29,Walking_Normal,51.98
-18.05,-72.48,-3.18,-76.83,-15.18,-26.5,-16.76,67.24,-0.26,Walking_Normal,52
-15.38,-73.45,-4.59,-65.45,-15.6,-26.5,-5.95,70.4,-0.33,Walking_Normal,52.02
-13.87,-75.19,-4.8,-68.32,-20.43,-26.5,9.58,69.72,0.81,Walking_Normal,52.04
-12.67,-74.67,-5.3,-77.55,-18.31,-26.5,2.13,71.55,1.02,Walking_Normal,52.06
-17.24,-71.22,-4.76,-76.23,-14.88,-26.5,-16.12,68.19,0.56,Walking_Normal,52.08
-18.04,-70.56,-4.69,-71.53,-13.49,-26.5,-19.3,68.28,-0.67,Walking_Normal,52.1
-15.24,-75.24,-4.39,-66.62,-16.89,-26.5,-2.37,69.78,-1.23,Walking_Normal,52.12
-12.37,-78.94,-4.05,-72.62,-18.79,-26.5,6.75,72.05,-0.34,Walking_Normal,52.14
-18.89,-67.2,-4.13,-72.61,-16.51,-26.5,-12.99,66.91,0.37,Walking_Normal,52.16
-19.08,-74.68,-3.65,-77.7,-14.44,-26.5,-18.48,67.05,-0.48,Walking_Normal,52.18
-14.77,-72.43,-3.59,-64.15,-17.09,-26.5,1.25,70.64,-1.42,Walking_Normal,52.2
-13.48,-76.34,-4.83,-65.56,-21.14,-26.5,14.45,70.07,0.67,Walking_Normal,52.22
-16.59,-70.52,-4.4,-74.58,-17.05,-26.5,-10.85,67.68,0.94,Walking_Normal,52.24
-17.18,-76.66,-3.78,-76.99,-12.86,-26.5,-21.37,68.48,-0.22,Walking_Normal,52.26
-13.98,-72.66,-4.61,-65.97,-15.69,-26.5,-2.47,71.94,-1.55,Walking_Normal,52.28
-13.42,-75.25,-4.6,-69.2,-19.83,-26.5,7.22,70.63,0.81,Walking_Normal,52.3
-13.54,-72.25,-4.07,-75.53,-17.24,-26.5,-3.6,71.87,0.34,Walking_Normal,52.32
-18.03,-71.27,-4.77,-76.13,-15.61,-26.5,-16.99,67.59,-0.02,Walking_Normal,52.34
-17.2,-77.86,-4.22,-72.26,-13.72,-26.5,-16.51,69.49,-0.34,Walking_Normal,52.36
-14.96,-73.68,-4.03,-67.09,-20.07,-26.5,5.29,68.99,-1.22,Walking_Normal,52.38
-12.08,-78.88,-4.5,-72.96,-19.2,-26.5,5.61,71.23,-0.21,Walking_Normal,52.4
-17.36,-71.29,-5.88,-75.12,-15.66,-26.5,-14.4,68.36,0.73,Walking_Normal,52.42
-16.44,-75.74,-5.74,-69.82,-13.92,-26.5,-15.13,69.5,0.7,Walking_Normal,52.44
-14.02,-76.85,-5.49,-69.21,-18.91,-26.5,6.83,70.53,-0.67,Walking_Normal,52.46
-11.65,-73.9,-5.98,-71.94,-17.96,-26.5,3.36,72.47,-0.7,Walking_Normal,52.48
-16.48,-71.52,-4.35,-74.61,-15.74,-26.5,-15.33,69.07,0.49,Walking_Normal,52.5
-14.42,-76.6,-5.52,-70.81,-14.37,-26.5,-8.06,71.64,-0.39,Walking_Normal,52.52
-12.09,-79.34,-5.42,-70.5,-19.02,-26.5,9.51,72.81,0.43,Walking_Normal,52.54
-12.01,-72.97,-5.4,-76.35,-16.66,-26.5,-2.32,72.64,0.18,Walking_Normal,52.56
-16.75,-73.74,-5.85,-75.85,-15.05,-26.5,-18.29,67.93,-0.1,Walking_Normal,52.58
-13.74,-81.81,-5.5,-71.95,-11.09,-26.5,-22.15,71.56,-0.02,Walking_Normal,52.6
-11.03,-76.96,-5.4,-68.77,-16.68,-26.5,6.53,75.07,-1.08,Walking_Normal,52.62
-10.48,-72.35,-5.36,-70.88,-18.15,-26.5,4.63,75.34,-1.09,Walking_Normal,52.64
-19.94,-68.44,-4.28,-71.79,-18.4,-26.5,-11.78,66.64,0.21,Walking_Normal,52.66
-20.12,-74.09,-3.67,-73.05,-16,-26.5,-13.87,66.58,-0.29,Walking_Normal,52.68
-16.3,-71.41,-3.93,-61.09,-21.58,-26.5,7.21,67.41,-0.67,Walking_Normal,52.7
-12.79,-78.95,-5.03,-71.59,-19.89,-26.5,4.51,70.6,0.84,Walking_Normal,52.72
-16.9,-67.66,-4.94,-71.16,-16.3,-26.5,-12.06,68.61,0.38,Walking_Normal,52.74
-16.22,-81.64,-5.19,-71.39,-14.08,-26.5,-12.76,69.7,0.25,Walking_Normal,52.76
-11.83,-76.61,-5.43,-69.53,-18.85,-26.5,9.54,72.5,0.4,Walking_Normal,52.78
-12.01,-70.43,-4.96,-76.36,-16.77,-26.5,-2.61,71.97,-0.63,Walking_Normal,52.8
-17,-69.56,-6.14,-76.48,-14.65,-26.5,-16.01,67.74,0.41,Walking_Normal,52.82
-14.1,-77.28,-4.9,-71.99,-13.66,-26.5,-7.44,72.47,0.61,Walking_Normal,52.84
-10.4,-79.46,-5.11,-67.03,-16.83,-26.5,7.84,75.06,-1.05,Walking_Normal,52.86
-12.11,-72.72,-6.42,-73.7,-15.4,-26.5,-7.54,73.99,-1.29,Walking_Normal,52.88
-16.89,-75.21,-4.88,-77.2,-15.35,-26.5,-16.21,69.28,-0.43,Walking_Normal,52.9
-13.46,-76.67,-5.56,-69.53,-14.26,-26.5,-8.77,72.61,0.8,Walking_Normal,52.92
-11.32,-78.51,-5.97,-68.6,-18.27,-26.5,10.25,73.48,1.07,Walking_Normal,52.94
-9.68,-74.91,-5.28,-76.31,-16.19,-26.5,1.12,75.06,0.61,Walking_Normal,52.96
-15.38,-71.9,-4.73,-75.64,-13.31,-26.5,-18.71,70.65,-0.3,Walking_Normal,52.98
-16.55,-75.3,-5.18,-74.45,-12.11,-26.5,-21.26,69.92,-0.16,Walking_Normal,53
-12.39,-75.82,-4.9,-65.56,-16.06,-26.5,3.51,72.45,-1.47,Walking_Normal,53.02
-10.21,-76.86,-4.87,-71.9,-18.63,-26.5,9.68,73.46,-1.03,Walking_Normal,53.04
-16.13,-70.97,-5.96,-75.67,-15.98,-26.5,-12.23,68.92,1.08,Walking_Normal,53.06
-14,-76.79,-4.95,-68.3,-14.07,-26.5,-7.28,72.32,0.04,Walking_Normal,53.08
-11.74,-76.6,-5.76,-65.84,-18.33,-26.5,11.31,73.28,-0.91,Walking_Normal,53.1
-15.11,-68.96,-5.17,-73.25,-16.7,-26.5,-10.12,70.06,0.74,Walking_Normal,53.12
-17.02,-76.76,-4.69,-80.11,-13.86,-26.5,-18.85,68.79,0.7,Walking_Normal,53.14
-13.14,-76.35,-5.06,-66,-16.14,-26.5,4.28,71.67,-0.88,Walking_Normal,53.16
-9.27,-80.97,-5.05,-72.91,-16.7,-26.5,11.12,75.58,0.12,Walking_Normal,53.18
-14.86,-71.48,-5.02,-76.57,-14.51,-26.5,-13.85,71.54,0.11,Walking_Normal,53.2
-16.38,-73.67,-5.89,-72.9,-11.78,-26.5,-22.42,69.39,0.5,Walking_Normal,53.22
-13.97,-72.73,-5.01,-65.53,-16.36,-26.5,-0.27,71.96,-2.14,Walking_Normal,53.24
-11.51,-76.95,-4.6,-72.72,-19.84,-26.5,12.88,71.88,-0.26,Walking_Normal,53.26
-13.72,-70.13,-5.59,-74.58,-16.4,-26.5,-8.59,70.99,0.77,Walking_Normal,53.28
-20.08,-71.48,-4.28,-77.03,-13.47,-26.5,-22.77,64.8,1.9,Walking_Normal,53.3
-14.75,-74.35,-4.88,-66.81,-15.38,-26.5,0.96,69.94,-1.35,Walking_Normal,53.32
-10.42,-79.18,-5.46,-71.97,-17.27,-26.5,10.49,73.11,0.3,Walking_Normal,53.34
-12.93,-69.96,-4.49,-75.97,-14.36,-26.5,-10.68,73.29,0.04,Walking_Normal,53.36
-17.96,-69.36,-4.59,-79.8,-13.99,-26.5,-18.47,69.21,0.41,Walking_Normal,53.38
-14.2,-77.24,-4.23,-68,-15.62,-26.5,-2.76,72.16,-0.88,Walking_Normal,53.4
-11.33,-79.48,-3.91,-68.87,-17.75,-26.5,6.78,74.31,-0.26,Walking_Normal,53.42
-14.05,-67.64,-4.12,-73.33,-16.52,-26.5,-9.22,72.47,-0.88,Walking_Normal,53.44
-21.47,-66.91,-4.13,-74.87,-16.09,-26.5,-19.52,64.41,-0.46,Walking_Normal,53.46
-15.74,-71.95,-3.98,-64.71,-17.01,-26.5,0.1,69.14,-2.33,Walking_Normal,53.48
-12.09,-75.1,-4.71,-65.13,-21.27,-26.5,15.24,69.92,0.99,Walking_Normal,53.5
-14.52,-73.39,-5.38,-77.87,-19.36,-26.5,-0.8,69.29,2.7,Walking_Normal,53.52
-19.47,-70.23,-4.14,-81.26,-14.37,-26.5,-21.05,65.38,2.93,Walking_Normal,53.54
-17.93,-76.58,-3.12,-74.31,-11.01,-26.5,-23.97,67.47,-1.31,Walking_Normal,53.56
-12.96,-76.93,-4.91,-68.94,-16.4,-26.5,2.11,71.88,-1.41,Walking_Normal,53.58
-10.76,-72.13,-5.32,-75.52,-16.46,-26.5,-1.46,74.43,-0.02,Walking_Normal,53.6
-17.59,-72.88,-3.89,-76.7,-14.29,-26.5,-20.16,68.43,-0.94,Walking_Normal,53.62
-15.71,-78.45,-5.19,-71.5,-13.81,-26.5,-12.71,71.33,-0.21,Walking_Normal,53.64
-13.37,-73.74,-5.33,-68.06,-19.79,-26.5,5.6,72.02,0,Walking_Normal,53.66
-12.67,-70.86,-5.27,-74.19,-18.81,-26.5,2.05,73.06,0.06,Walking_Normal,53.68
-18.58,-70.95,-5.28,-74.79,-16.66,-26.5,-15.25,68.11,-0.08,Walking_Normal,53.7
-18.3,-72.14,-4.87,-70.9,-14.48,-26.5,-19.57,68.06,-0.55,Walking_Normal,53.72
-12.34,-75.78,-5.75,-66.38,-19.69,-26.5,9.42,71.06,-0.51,Walking_Normal,53.74
-9.87,-75.73,-6.17,-74.82,-17.83,-26.5,3.1,74.46,0.79,Walking_Normal,53.76
-15.07,-70.23,-5.42,-78.34,-13.44,-26.5,-18.24,70.89,1.81,Walking_Normal,53.78
-16.47,-72.92,-4.95,-79.2,-10.95,-26.5,-23.99,70.21,0.21,Walking_Normal,53.8
-11.25,-77.39,-5.15,-65.86,-15.05,-26.5,1.3,74.01,-1.6,Walking_Normal,53.82
-10.09,-73.47,-5.6,-72.01,-17.77,-26.5,4.83,74.74,0.16,Walking_Normal,53.84
-15.85,-70.95,-5.73,-74.06,-15.17,-26.5,-14.06,70.75,0.12,Walking_Normal,53.86
-17.09,-76.34,-5.21,-71.06,-14.26,-26.5,-13.84,69.35,-1.09,Walking_Normal,53.88
-12.83,-75.7,-4.75,-66.63,-20.81,-26.5,12.27,70.57,-0.39,Walking_Normal,53.9
-11.73,-75.25,-6.24,-73.46,-19.05,-26.5,4.06,72.32,1.06,Walking_Normal,53.92
-18.06,-69.89,-4.96,-75.26,-16.37,-26.5,-13.43,67.61,0.79,Walking_Normal,53.94
-16.79,-76.21,-4.69,-73.15,-14.06,-26.5,-15.98,68.56,-0.25,Walking_Normal,53.96
-13.02,-76.14,-4.85,-68.73,-19.17,-26.5,9.35,70.73,0.05,Walking_Normal,53.98
-10.6,-73.78,-5.25,-75.07,-17.17,-26.5,2.65,74.05,0.58,Walking_Normal,54
-18.3,-74.95,-5.28,-79.76,-13.06,-26.5,-23.39,67.58,0.11,Walking_Normal,54.02
-13.05,-77.23,-4.9,-67.51,-20.11,-26.5,13.8,70.74,-0.37,Walking_Normal,54.04
-13.66,-71.71,-5.08,-73.8,-17.09,-26.5,-6.18,71.58,-0.4,Walking_Normal,54.06
-17.16,-72.05,-4.86,-74.25,-14.44,-26.5,-16.59,68.94,0.14,Walking_Normal,54.08
-12.59,-76.28,-5.46,-68.09,-19.73,-26.5,9.15,71.38,-0.01,Walking_Normal,54.1
-10.64,-74.87,-6.63,-74.41,-18.55,-26.5,7.5,73.32,0.71,Walking_Normal,54.12
-17.08,-71.22,-4.11,-73.85,-17.12,-26.5,-9.96,68.37,0.32,Walking_Normal,54.14
-16.54,-77.67,-5.03,-71.81,-15.52,-26.5,-11.08,68.32,-0.05,Walking_Normal,54.16
-11.31,-79.26,-5.94,-67.55,-18.85,-26.5,12.45,72.21,0.68,Walking_Normal,54.18
-11.62,-75.85,-4.99,-76.19,-17.19,-26.5,-1.43,73.04,0.82,Walking_Normal,54.2
-17.51,-72.73,-5.51,-76.01,-15.12,-26.5,-16.42,68.38,-0.15,Walking_Normal,54.22
-16.2,-79.73,-6.04,-74.12,-13,-26.5,-17.99,70.1,0.02,Walking_Normal,54.24
-11.48,-77.17,-4.72,-70.46,-16.86,-26.5,6.74,73.1,-0.48,Walking_Normal,54.26
-9.83,-76.36,-6.57,-73.93,-15.74,-26.5,-2.56,74.81,-0.2,Walking_Normal,54.28
-16.93,-71.6,-5.37,-78.59,-13.43,-26.5,-20.35,68.1,-0.11,Walking_Normal,54.3
-15.16,-79.31,-4.97,-73.36,-12.92,-26.5,-13,70.57,-0.95,Walking_Normal,54.32
-10.94,-78.43,-5.8,-69.82,-18.18,-26.5,10.34,72.46,0.05,Walking_Normal,54.34
-10.21,-74.6,-5.87,-75.41,-16.48,-26.5,-0.49,73.32,0.45,Walking_Normal,54.36
-15.08,-76.38,-6.34,-77.36,-10.75,-26.5,-26.46,70.46,0.26,Walking_Normal,54.38
-11.09,-78.34,-5.95,-67.6,-14.65,-26.5,-0.58,74.51,-0.94,Walking_Normal,54.4
-9.45,-76.93,-6.9,-74.98,-16.03,-26.5,1.9,75.57,0.55,Walking_Normal,54.42
-15.2,-72.34,-5.88,-78.49,-12.6,-26.5,-20.75,70.58,-0.12,Walking_Normal,54.44
-15.18,-77.7,-5.23,-76.96,-12.28,-26.5,-19.87,71.34,-0.93,Walking_Normal,54.46
-12.61,-75.71,-4.79,-67.47,-17.94,-26.5,7.28,71.76,-0.8,Walking_Normal,54.48
-10.81,-76.14,-6.07,-74.04,-18.43,-26.5,4.59,73.07,0.09,Walking_Normal,54.5
-16.81,-71.35,-5.5,-77.84,-15.09,-26.5,-16.92,67.7,1.52,Walking_Normal,54.52
-16.37,-76.67,-5.72,-76.59,-10.72,-26.5,-25.4,69.07,0.08,Walking_Normal,54.54
-11.3,-76.43,-5.43,-67.6,-16.22,-26.5,5.6,72.55,-0.97,Walking_Normal,54.56
-9.5,-74.68,-5.2,-72.84,-17.48,-26.5,7.62,74.39,0.6,Walking_Normal,54.58
-15.33,-73.38,-5.4,-79.17,-13.9,-26.5,-17.56,70.82,0.37,Walking_Normal,54.6
-15.23,-75.5,-5.32,-76.16,-11.09,-26.5,-26.61,70.1,-0.61,Walking_Normal,54.62
-12.32,-77.07,-5.17,-68.04,-16.57,-26.5,0.26,72.42,-0.09,Walking_Normal,54.64
-9.6,-75.97,-6.46,-73.67,-16.75,-26.5,6.63,74.86,0.65,Walking_Normal,54.66
-14.63,-71.85,-5.09,-76.02,-14.07,-26.5,-13.94,72.21,0.25,Walking_Normal,54.68
-14.45,-78.52,-5.9,-73.97,-12.58,-26.5,-18.97,71.97,-0.6,Walking_Normal,54.7
-11.67,-76.28,-5.72,-68.95,-18.43,-26.5,8.45,72.75,-0.24,Walking_Normal,54.72
-11.25,-76.32,-4.85,-73.86,-17.15,-26.5,1.03,74.07,0.84,Walking_Normal,54.74
-16.51,-72.11,-4.59,-74.53,-15.46,-26.5,-14.96,69.45,-0.26,Walking_Normal,54.76
-16.53,-74.5,-4.89,-73.2,-13.02,-26.5,-20.52,69.72,-0.27,Walking_Normal,54.78
-12.05,-78.42,-4.7,-72.27,-19.31,-26.5,13.32,72.37,0.49,Walking_Normal,54.8
-14.32,-73.21,-4.93,-75.65,-17.48,-26.5,-5.56,70.49,0.86,Walking_Normal,54.82
-17.25,-73.06,-4.81,-80.89,-12.75,-26.5,-24.63,68.34,0.37,Walking_Normal,54.84
-14.43,-75.76,-4.83,-68.67,-13.16,-26.5,-12.44,72.09,-0.81,Walking_Normal,54.86
-12.57,-80.04,-4.89,-71.8,-17.83,-26.5,7.49,72.99,-0.22,Walking_Normal,54.88
-13.79,-70.96,-4.19,-74.78,-15.18,-26.5,-10.54,72.97,-0.01,Walking_Normal,54.9
-17.82,-68.02,-4.99,-75.99,-13.74,-26.5,-23.16,67.61,1.04,Walking_Normal,54.92
-14.34,-76.38,-4.94,-70.85,-11.78,-26.5,-14.31,73.55,-0.41,Walking_Normal,54.94
-12.78,-79.28,-4.94,-70.67,-16.34,-26.5,1.21,74.65,0.36,Walking_Normal,54.96
-11.62,-78.14,-5.92,-74.87,-14.72,-26.5,-15.62,75.76,-0.39,Walking_Normal,54.98
-15.71,-77.68,-4.85,-70.9,-10.77,-26.5,-29.6,71.3,-0.78,Walking_Normal,55
-11.19,-78.69,-5.83,-67.61,-15.86,-26.5,4.81,76.89,-1.12,Walking_Normal,55.02
-8.29,-79.21,-6.51,-72.98,-15.98,-26.5,4.52,79.31,0.37,Walking_Normal,55.04
-14.5,-72.31,-6.13,-75.36,-13.53,-26.5,-16.71,73.2,0.42,Walking_Normal,55.06
-14.48,-77.33,-7.65,-78.89,-10.74,-26.5,-28.07,72.42,0.38,Walking_Normal,55.08
-10.61,-75.75,-5.99,-65.58,-14.91,-26.5,2.17,78.08,-3.03,Walking_Normal,55.1
-10.6,-74.91,-5.49,-71.96,-19.4,-26.5,7.74,77.73,-0.63,Walking_Normal,55.12
-20.83,-62.03,-3.31,-66.06,-21.38,-26.5,-2.47,67.9,1.08,Walking_Normal,55.14
-29.68,-59.5,0.75,-64.06,-21.6,-26.5,-11.84,57.57,1.25,Walking_Normal,55.16
-27.53,-62.81,2.49,-58.35,-31.76,-26.5,10.05,51.47,-2.79,Walking_Normal,55.18
-14.45,-78.52,-5.9,-73.97,-12.58,-26.5,-18.97,71.97,-0.6,Walking_Abnormal,55.2
-11.67,-76.28,-5.72,-68.95,-18.43,-26.5,8.45,72.75,-0.24,Walking_Abnormal,55.22
-11.25,-76.32,-4.85,-73.86,-17.15,-26.5,1.03,74.07,0.84,Walking_Abnormal,55.24
-16.51,-72.11,-4.59,-74.53,-15.46,-26.5,-14.96,69.45,-0.26,Walking_Abnormal,55.26
-16.53,-74.5,-4.89,-73.2,-13.02,-26.5,-20.52,69.72,-0.27,Walking_Abnormal,55.28
-12.05,-78.42,-4.7,-72.27,-19.31,-26.5,13.32,72.37,0.49,Walking_Abnormal,55.3
-14.32,-73.21,-4.93,-75.65,-17.48,-26.5,-5.56,70.49,0.86,Walking_Abnormal,55.32
-17.25,-73.06,-4.81,-80.89,-12.75,-26.5,-24.63,68.34,0.37,Walking_Abnormal,55.34
-14.43,-75.76,-4.83,-68.67,-13.16,-26.5,-12.44,72.09,-0.81,Walking_Abnormal,55.36
-12.57,-80.04,-4.89,-71.8,-17.83,-26.5,7.49,72.99,-0.22,Walking_Abnormal,55.38
-13.79,-70.96,-4.19,-74.78,-15.18,-26.5,-10.54,72.97,-0.01,Walking_Abnormal,55.4
-17.82,-68.02,-4.99,-75.99,-13.74,-26.5,-23.16,67.61,1.04,Walking_Abnormal,55.42
-14.34,-76.38,-4.94,-70.85,-11.78,-26.5,-14.31,73.55,-0.41,Walking_Abnormal,55.44
-12.78,-79.28,-4.94,-70.67,-16.34,-26.5,1.21,74.65,0.36,Walking_Abnormal,55.46
-11.62,-78.14,-5.92,-74.87,-14.72,-26.5,-15.62,75.76,-0.39,Walking_Abnormal,55.48
-15.71,-77.68,-4.85,-70.9,-10.77,-26.5,-29.6,71.3,-0.78,Walking_Abnormal,55.5
-11.19,-78.69,-5.83,-67.61,-15.86,-26.5,4.81,76.89,-1.12,Walking_Abnormal,55.52
-8.29,-79.21,-6.51,-72.98,-15.98,-26.5,4.52,79.31,0.37,Walking_Abnormal,55.54
-14.5,-72.31,-6.13,-75.36,-13.53,-26.5,-16.71,73.2,0.42,Walking_Abnormal,55.56
-14.48,-77.33,-7.65,-78.89,-10.74,-26.5,-28.07,72.42,0.38,Walking_Abnormal,55.58
-10.61,-75.75,-5.99,-65.58,-14.91,-26.5,2.17,78.08,-3.03,Walking_Abnormal,55.6
-10.6,-74.91,-5.49,-71.96,-19.4,-26.5,7.74,77.73,-0.63,Walking_Abnormal,55.62
-20.83,-62.03,-3.31,-66.06,-21.38,-26.5,-2.47,67.9,1.08,Walking_Abnormal,55.64
-29.68,-59.5,0.75,-64.06,-21.6,-26.5,-11.84,57.57,1.25,Walking_Abnormal,55.66
-27.53,-62.81,2.49,-58.35,-31.76,-26.5,10.05,51.47,-2.79,Walking_Abnormal,55.68
-21.19,-68.27,0.52,-67.86,-29.68,-26.5,5.87,59.18,1.02,Walking_Abnormal,55.7
-26.47,-61.6,-0.36,-65.61,-24.21,-26.5,-7.93,59.14,1.08,Walking_Abnormal,55.72
-26.56,-63.2,-0.67,-64.52,-24.71,-26.5,-2.72,60.09,-1.35,Walking_Abnormal,55.74
-22.06,-66.68,-1.21,-59.6,-29.95,-26.5,10.7,59.8,-0.67,Walking_Abnormal,55.76
-26.35,-60.08,-1.51,-61.85,-26.75,-26.5,-2.74,58.99,2.63,Walking_Abnormal,55.78
-26.26,-64.15,0.08,-62.89,-22.5,-26.5,-7.37,59.26,-0.36,Walking_Abnormal,55.8
-19.64,-66.39,-1.49,-59.96,-25.72,-26.5,10.12,61.69,-2.98,Walking_Abnormal,55.82
-14.18,-74.67,-3.51,-67.43,-25.31,-26.5,12.76,68.88,-0.03,Walking_Abnormal,55.84
-18.8,-62.81,-3.93,-67.81,-21.06,-26.5,-4.87,68.61,2.48,Walking_Abnormal,55.86
-24.65,-68.86,-2.16,-71.62,-19.15,-26.5,-12.73,63.44,-0.95,Walking_Abnormal,55.88
-22.13,-63.72,-1.21,-56.14,-25.11,-26.5,4.63,62.85,-1.77,Walking_Abnormal,55.9
-19,-71.55,-1.33,-65.23,-28.46,-26.5,12.54,63.04,0.96,Walking_Abnormal,55.92
-23.78,-61.91,-2.4,-62.57,-23.82,-26.5,-3.58,62.87,0.94,Walking_Abnormal,55.94
-25.95,-65.46,-1.25,-67.68,-22.58,-26.5,-7.52,61.4,-0.85,Walking_Abnormal,55.96
-23.81,-60.65,-0.47,-55.55,-32.13,-26.5,12.21,56.75,-2.18,Walking_Abnormal,55.98
-25.86,-53.9,1.11,-55.93,-31.41,-26.5,7.28,55.5,1.78,Walking_Abnormal,56
-30.66,-57.75,2.23,-64.41,-27.45,-26.5,-3.34,51.04,1.89,Walking_Abnormal,56.02
-22.5,-64.03,0.24,-57.86,-28.28,-26.5,9.54,58.14,-1.59,Walking_Abnormal,56.04
-17.85,-66.24,-1.61,-65.31,-27.21,-26.5,11.95,63.12,-0.51,Walking_Abnormal,56.06
-22.29,-66.12,-2.87,-70.39,-21.91,-26.5,-5.53,63.09,0.45,Walking_Abnormal,56.08
-21.2,-64.16,-1.61,-63.95,-21.94,-26.5,-0.28,64.65,0.37,Walking_Abnormal,56.1
-20.44,-64.88,-1.56,-62.75,-26.79,-26.5,9.31,63.19,-0.65,Walking_Abnormal,56.12
-20.93,-63.91,-1.06,-64.97,-27.8,-26.5,7.51,62.72,-0.72,Walking_Abnormal,56.14
-26.9,-62.27,0.01,-67.33,-24.96,-26.5,-5.67,56.82,1.97,Walking_Abnormal,56.16
-26.02,-68.33,0.14,-66.74,-23.86,-26.5,-2.59,58.92,-1.42,Walking_Abnormal,56.18
-22.03,-63.64,-0.41,-61.29,-30.13,-26.5,12.91,57.94,-0.31,Walking_Abnormal,56.2
-21.19,-61.94,-1.34,-64.03,-27.9,-26.5,8.3,61.03,-0.38,Walking_Abnormal,56.22
-25.03,-65.2,-1.43,-66,-23.25,-26.5,-6.85,60.01,0.14,Walking_Abnormal,56.24
-23.64,-62.31,-0.98,-58.07,-24.96,-26.5,-0.04,60.94,-0.66,Walking_Abnormal,56.26
-20.45,-64.81,-1.23,-64.22,-29.12,-26.5,13.56,60.78,-0.12,Walking_Abnormal,56.28
-20.39,-64.34,-2.22,-66.46,-25.63,-26.5,4.43,64.14,-0.04,Walking_Abnormal,56.3
-24.28,-67.93,-1.46,-68.61,-22.38,-26.5,-9.33,60.96,1.05,Walking_Abnormal,56.32
-23.16,-64.18,-1.97,-59.46,-24.46,-26.5,2.5,61.81,-1.35,Walking_Abnormal,56.34
-20.16,-64.26,-1.87,-59.94,-29.38,-26.5,15.62,60.5,0.13,Walking_Abnormal,56.36
-22.4,-60.29,-2.18,-63.07,-25.87,-26.5,1.64,61.93,2.12,Walking_Abnormal,56.38
-28.55,-60.58,-0.81,-61.97,-23.34,-26.5,-9.47,56.57,0.19,Walking_Abnormal,56.4
-23.92,-60.31,-0.37,-54.15,-30.96,-26.5,12.46,56.58,-1.51,Walking_Abnormal,56.42
-20.21,-65.15,-0.74,-63.34,-29.4,-26.5,11.59,60.37,0.97,Walking_Abnormal,56.44
-25.4,-60.54,-1.71,-61.84,-25.84,-26.5,-4.74,59.36,1.18,Walking_Abnormal,56.46
-23.82,-60.06,-0.96,-58.05,-24.92,-26.5,1.91,61.18,-1.11,Walking_Abnormal,56.48
-21.99,-66.36,-1.82,-63.82,-30.27,-26.5,11.93,59.62,1.17,Walking_Abnormal,56.5
-21.09,-60.88,-1.33,-65.09,-25.44,-26.5,-0.88,64.41,0.73,Walking_Abnormal,56.52
-27.6,-61.67,-1.35,-67.41,-23.54,-26.5,-9.44,57.55,0.43,Walking_Abnormal,56.54
-24.36,-64.06,-0.89,-60.34,-22.11,-26.5,-3.39,62.29,-2.26,Walking_Abnormal,56.56
-20.76,-64.15,-0.65,-60.89,-27.9,-26.5,10.42,61.46,0.16,Walking_Abnormal,56.58
-19.94,-62.85,-1.25,-67.84,-24.76,-26.5,3.46,65.5,0.69,Walking_Abnormal,56.6
-26.48,-61.33,-1.05,-64.31,-23.41,-26.5,-9.7,59.42,-0.34,Walking_Abnormal,56.62
-24.53,-63.36,-1.31,-58.93,-23.69,-26.5,-1.31,61.33,-1.83,Walking_Abnormal,56.64
-18.62,-66.38,-1.8,-59.29,-29.62,-26.5,16.86,64.11,-1.57,Walking_Abnormal,56.66
-26.13,-57.86,-0.36,-60.8,-29.05,-26.5,1.26,58.95,3.41,Walking_Abnormal,56.68
-30.55,-54.3,0.84,-54.7,-27.44,-26.5,-2.57,55.91,1.43,Walking_Abnormal,56.7
-31.06,-54.42,3.54,-48.96,-34.63,-26.5,8.44,52.23,-2.62,Walking_Abnormal,56.72
-26.13,-59.86,2.85,-56.74,-36.18,-26.5,12.42,54.16,-1.11,Walking_Abnormal,56.74
-34.3,-49.8,2.8,-54.37,-34.15,-26.5,-0.43,48.04,1.99,Walking_Abnormal,56.76
-32.11,-53.96,4.25,-55.54,-32.31,-26.5,6.6,50.62,-0.11,Walking_Abnormal,56.78
-27.85,-54.58,1.86,-52.81,-36.21,-26.5,11.51,52.34,-0.75,Walking_Abnormal,56.8
